library	r1_file	r2_file	sample	run	mock	amplicon	replicate
Pac_A_1_lib	Pac_A_1.fastq.gz		Pac_A_1	1	A	V1V9	1
Pac_A_2_lib	Pac_A_2.fastq.gz		Pac_A_2	1	A	V1V9	2
Pac_A_3_lib	Pac_A_3.fastq.gz		Pac_A_3	1	A	V1V9	3
Pac_B_1_lib	Pac_B_1.fastq.gz		Pac_B_1	1	B	V1V9	1
Pac_B_2_lib	Pac_B_2.fastq.gz		Pac_B_2	1	B	V1V9	2
Pac_B_3_lib	Pac_B_3.fastq.gz		Pac_B_3	1	B	V1V9	3
Pac_C_1_lib	Pac_C_1.fastq.gz		Pac_C_1	1	C	V1V9	1
Pac_C_2_lib	Pac_C_2.fastq.gz		Pac_C_2	1	C	V1V9	2
Pac_C_3_lib	Pac_C_3.fastq.gz		Pac_C_3	1	C	V1V9	3
Pac_D_1_lib	Pac_D_1.fastq.gz		Pac_D_1	1	D	V1V9	1
Pac_D_2_lib	Pac_D_2.fastq.gz		Pac_D_2	1	D	V1V9	2
Pac_D_3_lib	Pac_D_3.fastq.gz		Pac_D_3	1	D	V1V9	3
Pac_E_1_lib	Pac_E_1.fastq.gz		Pac_E_1	1	E	V1V9	1
Pac_E_2_lib	Pac_E_2.fastq.gz		Pac_E_2	1	E	V1V9	2
Pac_E_3_lib	Pac_E_3.fastq.gz		Pac_E_3	1	E	V1V9	3
Pac_F_1_lib	Pac_F_1.fastq.gz		Pac_F_1	1	F	V1V9	1
Pac_F_2_lib	Pac_F_2.fastq.gz		Pac_F_2	1	F	V1V9	2
Pac_F_3_lib	Pac_F_3.fastq.gz		Pac_F_3	1	F	V1V9	3
Pac_G_1_lib	Pac_G_1.fastq.gz		Pac_G_1	1	G	V1V9	1
Pac_G_2_lib	Pac_G_2.fastq.gz		Pac_G_2	1	G	V1V9	2
Pac_G_3_lib	Pac_G_3.fastq.gz		Pac_G_3	1	G	V1V9	3
Pac_H_1_lib	Pac_H_1.fastq.gz		Pac_H_1	1	H	V1V9	1
Pac_H_2_lib	Pac_H_2.fastq.gz		Pac_H_2	1	H	V1V9	2
Pac_H_3_lib	Pac_H_3.fastq.gz		Pac_H_3	1	H	V1V9	3
