study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB45207	SAMEA8898619	ERX5642659	ERR6001903	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/003/ERR6001903/ERR6001903.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6001903/Ion_A1_1.IonCode_0170.fastq.gz	
PRJEB45207	SAMEA8898619	ERX5642660	ERR6001904	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/004/ERR6001904/ERR6001904.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6001904/Ion_A1_2.IonCode_0171.fastq.gz	
PRJEB45207	SAMEA8898619	ERX5642661	ERR6001905	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/005/ERR6001905/ERR6001905.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6001905/Ion_A1_3.IonCode_0172.fastq.gz	
PRJEB45207	SAMEA8898619	ERX5642662	ERR6001906	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/006/ERR6001906/ERR6001906.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6001906/Ion_A2_1.IonCode_0201.fastq.gz	
PRJEB45207	SAMEA8898619	ERX5642663	ERR6001907	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/007/ERR6001907/ERR6001907.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6001907/Ion_A2_2.IonCode_0202.fastq.gz	
PRJEB45207	SAMEA8898619	ERX5642664	ERR6001908	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/008/ERR6001908/ERR6001908.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6001908/Ion_A2_3.IonCode_0203.fastq.gz	
PRJEB45207	SAMEA8898619	ERX5642665	ERR6001909	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/009/ERR6001909/ERR6001909.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6001909/Ion_A3_1.IonCode_0233.fastq.gz	
PRJEB45207	SAMEA8898619	ERX5642666	ERR6001910	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/000/ERR6001910/ERR6001910.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6001910/Ion_A3_2.IonCode_0234.fastq.gz	
PRJEB45207	SAMEA8898619	ERX5642667	ERR6001911	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/001/ERR6001911/ERR6001911.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6001911/Ion_A3_3.IonCode_0235.fastq.gz	
PRJEB45207	SAMEA8898619	ERX5642668	ERR6001912	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/002/ERR6001912/ERR6001912.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6001912/Ion_A4_1.IonCode_0265.fastq.gz	
PRJEB45207	SAMEA8898619	ERX5642669	ERR6001913	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/003/ERR6001913/ERR6001913.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6001913/Ion_A4_2.IonCode_0266.fastq.gz	
PRJEB45207	SAMEA8898619	ERX5642670	ERR6001914	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/004/ERR6001914/ERR6001914.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6001914/Ion_A4_3.IonCode_0267.fastq.gz	
PRJEB45207	SAMEA8898619	ERX5642671	ERR6001915	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/005/ERR6001915/ERR6001915.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6001915/Pac_A_1.fastq.gz	
PRJEB45207	SAMEA8898619	ERX5642672	ERR6001916	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/006/ERR6001916/ERR6001916.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6001916/Pac_A_2.fastq.gz	
PRJEB45207	SAMEA8898619	ERX5642673	ERR6001917	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/007/ERR6001917/ERR6001917.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6001917/Pac_A_3.fastq.gz	
PRJEB45207	SAMEA8898619	ERX5642674	ERR6001918	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/008/ERR6001918/ERR6001918.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6001918/MIN_A.fastq.gz	
