library	r1_file	r2_file	sample	run	mock	amplicon	replicate
MiS_A3_1_1_lib	MiS_A3_1_1.fastq.gz	MiS_A3_1_2.fastq.gz	MiS_A3_1_1	2	A	V3	1
MiS_A3_2_1_lib	MiS_A3_2_1.fastq.gz	MiS_A3_2_2.fastq.gz	MiS_A3_2_1	2	A	V3	2
MiS_A3_3_1_lib	MiS_A3_3_1.fastq.gz	MiS_A3_3_2.fastq.gz	MiS_A3_3_1	2	A	V3	3
MiS_B3_1_1_lib	MiS_B3_1_1.fastq.gz	MiS_B3_1_2.fastq.gz	MiS_B3_1_1	2	B	V3	1
MiS_B3_2_1_lib	MiS_B3_2_1.fastq.gz	MiS_B3_2_2.fastq.gz	MiS_B3_2_1	2	B	V3	2
MiS_B3_3_1_lib	MiS_B3_3_1.fastq.gz	MiS_B3_3_2.fastq.gz	MiS_B3_3_1	2	B	V3	3
MIS_C3_1_1_lib	MIS_C3_1_1.fastq.gz	MIS_C3_1_2.fastq.gz	MIS_C3_1_1	2	C	V3	1
MIS_C3_2_1_lib	MIS_C3_2_1.fastq.gz	MIS_C3_2_2.fastq.gz	MIS_C3_2_1	2	C	V3	2
MIS_C3_3_1_lib	MIS_C3_3_1.fastq.gz	MIS_C3_3_2.fastq.gz	MIS_C3_3_1	2	C	V3	3
MIS_D3_1_1_lib	MIS_D3_1_1.fastq.gz	MIS_D3_1_2.fastq.gz	MIS_D3_1_1	2	D	V3	1
MIS_D3_2_1_lib	MIS_D3_2_1.fastq.gz	MIS_D3_2_2.fastq.gz	MIS_D3_2_1	2	D	V3	2
MIS_D3_3_1_lib	MIS_D3_3_1.fastq.gz	MIS_D3_3_2.fastq.gz	MIS_D3_3_1	2	D	V3	3
MIS_E3_1_1_lib	MIS_E3_1_1.fastq.gz	MIS_E3_1_2.fastq.gz	MIS_E3_1_1	2	E	V3	1
MIS_E3_2_1_lib	MIS_E3_2_1.fastq.gz	MIS_E3_2_2.fastq.gz	MIS_E3_2_1	2	E	V3	2
MIS_E3_3_1_lib	MIS_E3_3_1.fastq.gz	MIS_E3_3_2.fastq.gz	MIS_E3_3_1	2	E	V3	3
MIS_F3_1_1_lib	MIS_F3_1_1.fastq.gz	MIS_F3_1_2.fastq.gz	MIS_F3_1_1	2	F	V3	1
MIS_F3_2_1_lib	MIS_F3_2_1.fastq.gz	MIS_F3_2_2.fastq.gz	MIS_F3_2_1	2	F	V3	2
MIS_F3_3_1_lib	MIS_F3_3_1.fastq.gz	MIS_F3_3_2.fastq.gz	MIS_F3_3_1	2	F	V3	3
MIS_G3_1_1_lib	MIS_G3_1_1.fastq.gz	MIS_G3_1_2.fastq.gz	MIS_G3_1_1	2	G	V3	1
MIS_G3_2_1_lib	MIS_G3_2_1.fastq.gz	MIS_G3_2_2.fastq.gz	MIS_G3_2_1	2	G	V3	2
MIS_G3_3_1_lib	MIS_G3_3_1.fastq.gz	MIS_G3_3_2.fastq.gz	MIS_G3_3_1	2	G	V3	3
MIS_H3_1_1_lib	MIS_H3_1_1.fastq.gz	MIS_H3_1_2.fastq.gz	MIS_H3_1_1	2	H	V3	1
MIS_H3_2_1_lib	MIS_H3_2_1.fastq.gz	MIS_H3_2_2.fastq.gz	MIS_H3_2_1	2	H	V3	2
MIS_H3_3_1_lib	MIS_H3_3_1.fastq.gz	MIS_H3_3_2.fastq.gz	MIS_H3_3_1	2	H	V3	3
