#id	length	GC	avg.qual	sample
m64279e_220428_134527/537/ccs	1472	55.23	68.66	4112_bc1008--bc1075
m64279e_220428_134527/684/ccs	1474	51.09	69.87	4112_bc1008--bc1075
m64279e_220428_134527/744/ccs	1464	54.99	57.64	4112_bc1008--bc1075
m64279e_220428_134527/836/ccs	1460	54.18	23.06	4112_bc1008--bc1075
m64279e_220428_134527/1055/ccs	1464	54.99	63.73	4112_bc1008--bc1075
m64279e_220428_134527/1202/ccs	1474	55.22	28.40	4112_bc1008--bc1075
m64279e_220428_134527/1734/ccs	1473	51.05	58.02	4112_bc1008--bc1075
m64279e_220428_134527/1987/ccs	1460	54.73	27.91	4112_bc1008--bc1075
m64279e_220428_134527/2083/ccs	1472	53.80	93.00	4112_bc1008--bc1075
m64279e_220428_134527/2162/ccs	1483	54.01	51.69	4112_bc1008--bc1075
m64279e_220428_134527/2164/ccs	1458	54.25	62.58	4112_bc1008--bc1075
m64279e_220428_134527/2183/ccs	1474	51.09	69.66	4112_bc1008--bc1075
m64279e_220428_134527/65635/ccs	1500	52.93	20.88	4112_bc1008--bc1075
m64279e_220428_134527/65846/ccs	1464	54.92	37.02	4112_bc1008--bc1075
m64279e_220428_134527/66007/ccs	1469	54.87	30.28	4112_bc1008--bc1075
m64279e_220428_134527/66187/ccs	1472	55.23	93.00	4112_bc1008--bc1075
m64279e_220428_134527/67436/ccs	1472	55.23	92.65	4112_bc1008--bc1075
m64279e_220428_134527/67551/ccs	1472	53.67	67.66	4112_bc1008--bc1075
m64279e_220428_134527/67809/ccs	1481	50.98	23.66	4112_bc1008--bc1075
m64279e_220428_134527/68397/ccs	1474	51.09	71.57	4112_bc1008--bc1075
m64279e_220428_134527/131330/ccs	1464	54.99	34.41	4112_bc1008--bc1075
m64279e_220428_134527/131452/ccs	1464	54.99	77.77	4112_bc1008--bc1075
m64279e_220428_134527/131652/ccs	1471	55.20	43.37	4112_bc1008--bc1075
m64279e_220428_134527/132193/ccs	1474	51.09	63.62	4112_bc1008--bc1075
m64279e_220428_134527/132246/ccs	1474	51.09	93.00	4112_bc1008--bc1075
m64279e_220428_134527/132280/ccs	1474	51.09	92.99	4112_bc1008--bc1075
m64279e_220428_134527/132637/ccs	1474	50.95	77.25	4112_bc1008--bc1075
m64279e_220428_134527/132706/ccs	1471	55.13	38.94	4112_bc1008--bc1075
m64279e_220428_134527/132733/ccs	1466	55.12	26.68	4112_bc1008--bc1075
m64279e_220428_134527/132776/ccs	1483	53.94	92.94	4112_bc1008--bc1075
m64279e_220428_134527/132963/ccs	1464	54.85	93.00	4112_bc1008--bc1075
m64279e_220428_134527/132999/ccs	1468	54.97	26.25	4112_bc1008--bc1075
m64279e_220428_134527/133116/ccs	1472	53.74	92.87	4112_bc1008--bc1075
m64279e_220428_134527/133345/ccs	1472	53.80	93.00	4112_bc1008--bc1075
m64279e_220428_134527/196653/ccs	1490	54.16	31.70	4112_bc1008--bc1075
m64279e_220428_134527/197241/ccs	1473	51.05	26.91	4112_bc1008--bc1075
m64279e_220428_134527/198097/ccs	1479	55.24	25.05	4112_bc1008--bc1075
m64279e_220428_134527/198221/ccs	1472	55.23	35.71	4112_bc1008--bc1075
m64279e_220428_134527/198244/ccs	1474	51.09	36.49	4112_bc1008--bc1075
m64279e_220428_134527/198769/ccs	1458	54.32	87.80	4112_bc1008--bc1075
m64279e_220428_134527/199096/ccs	1472	53.74	80.43	4112_bc1008--bc1075
m64279e_220428_134527/199120/ccs	1483	53.88	43.96	4112_bc1008--bc1075
m64279e_220428_134527/199348/ccs	1483	54.01	93.00	4112_bc1008--bc1075
m64279e_220428_134527/262995/ccs	1508	52.98	65.31	4112_bc1008--bc1075
m64279e_220428_134527/263244/ccs	1498	52.87	72.87	4112_bc1008--bc1075
m64279e_220428_134527/263405/ccs	1483	53.94	30.65	4112_bc1008--bc1075
m64279e_220428_134527/263680/ccs	1472	55.23	70.24	4112_bc1008--bc1075
m64279e_220428_134527/263808/ccs	1483	54.01	60.49	4112_bc1008--bc1075
m64279e_220428_134527/263924/ccs	1498	53.07	93.00	4112_bc1008--bc1075
m64279e_220428_134527/264050/ccs	1474	51.15	64.62	4112_bc1008--bc1075
m64279e_220428_134527/264130/ccs	1471	55.20	36.74	4112_bc1008--bc1075
m64279e_220428_134527/264282/ccs	1464	54.85	47.48	4112_bc1008--bc1075
